"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [M]","1A: O2 slope neg. [pmol/(s*mL)]","1B: O2 concentration [M]","1B: O2 slope neg. [pmol/(s*mL)]","1: Block temp. [°C]","1: Peltier power [%]"
48.87,"","","",203.1977,7.5270,141.6740,63.3682,37.0010,13.2740
48.90,"","","",203.1678,7.5270,141.5772,63.2742,37.0010,13.2470
48.93,"","","",203.1714,7.6177,141.4606,63.2742,37.0010,13.2260
48.97,"","","",203.1605,7.5270,141.3233,63.1802,37.0000,13.2460
49.00,"","","",203.1705,7.5270,141.2011,62.9921,36.9990,13.2720
49.03,"","","",203.1823,7.4364,141.1071,62.8041,37.0010,13.2300
49.07,"","","",203.1623,7.3457,140.9444,62.8041,37.0000,13.2270
49.10,"","","",203.1560,7.3457,140.8138,62.7101,37.0000,13.2180
49.13,"","","",203.1324,7.2550,140.6586,62.7101,36.9980,13.2570
49.17,"","","",203.0916,7.3457,140.5167,62.8041,37.0000,13.2640
49.20,"","","",203.0689,7.3457,140.4161,62.8041,37.0010,13.2290
49.23,"","","",203.0408,7.4364,140.2957,62.8041,37.0010,13.1950
49.27,"","","",203.0145,7.6177,140.1735,62.8041,36.9990,13.2380
49.30,"","","",203.0208,7.7084,140.0438,62.8041,37.0000,13.2620
49.33,"","","",203.0417,7.7084,139.9300,62.7101,37.0010,13.2160
49.37,"","","",203.0090,7.7991,139.8068,62.6161,37.0010,13.1870
49.40,"","","",203.0072,7.7084,139.7053,62.5221,37.0000,13.1900
49.43,"","","",202.9882,7.6177,139.5981,62.4280,37.0000,13.2170
49.47,"","","",202.9710,7.5270,139.4599,62.3340,37.0010,13.1820
49.50,"","","",202.9973,7.3457,139.3283,62.3340,37.0000,13.1730
49.53,"","","",202.9818,7.1643,139.1835,62.2400,36.9990,13.2050
49.57,"","","",202.9483,7.0736,139.0801,62.1460,36.9990,13.2280
49.60,"","","",202.8957,7.0736,138.9522,62.1460,36.9990,13.2640
49.63,"","","",202.8866,7.0736,138.8102,62.1460,36.9990,13.2880
49.67,"","","",202.8857,7.0736,138.6927,62.1460,37.0010,13.2510
49.70,"","","",202.8721,7.0736,138.5733,62.1460,37.0020,13.2110
49.73,"","","",202.8612,7.0736,138.4548,62.1460,37.0030,13.1820
49.77,"","","",202.8531,6.9829,138.3477,62.0520,37.0010,13.1840
49.80,"","","",202.8222,6.9829,138.2461,61.9579,37.0010,13.1420
49.83,"","","",202.7860,6.9829,138.1126,61.8639,37.0000,13.1630
49.87,"","","",202.7597,7.0736,137.9763,61.8639,36.9990,13.2040
49.90,"","","",202.7615,7.0736,137.8663,61.7699,36.9980,13.2380
49.93,"","","",202.7660,7.1643,137.7582,61.6759,36.9990,13.2620
49.97,"","","",202.7442,7.1643,137.6454,61.5819,36.9990,13.2750
50.00,"","","",202.7279,7.2550,137.5147,61.4879,37.0010,13.2550
50.03,"","","",202.7551,7.1643,137.4075,61.4879,37.0020,13.2300
50.07,"","","",202.7506,7.0736,137.2881,61.3938,37.0000,13.2340
50.10,"","","",202.7134,7.0736,137.1254,61.3938,37.0000,13.2170
50.13,"","","",202.6735,6.9829,136.9929,61.3938,37.0010,13.1870
50.17,"","","",202.6599,6.9829,136.8415,61.4879,37.0010,13.1610
50.20,"","","",202.6436,7.0736,136.7428,61.4879,36.9980,13.2140
50.23,"","","",202.6390,7.1643,136.6572,61.3938,36.9990,13.2380
50.27,"","","",202.6100,7.2550,136.5115,61.2998,37.0000,13.2250
50.30,"","","",202.6273,7.2550,136.3912,61.2058,37.0010,13.1910
50.33,"","","",202.6381,7.1643,136.2727,61.1118,37.0000,13.1990
50.37,"","","",202.6100,7.0736,136.1495,61.0178,37.0000,13.1900
50.40,"","","",202.6019,6.9829,136.0395,60.9237,37.0010,13.1640
50.43,"","","",202.5402,6.9829,135.9192,60.8297,36.9990,13.2070
50.47,"","","",202.5293,6.9829,135.7951,60.8297,36.9990,13.2220
50.50,"","","",202.5429,6.9829,135.6719,60.9237,37.0000,13.2150
50.53,"","","",202.5329,6.9829,135.5309,60.9237,37.0000,13.2140
50.57,"","","",202.4967,6.9829,135.3889,61.0178,37.0000,13.2250
50.60,"","","",202.4812,7.0736,135.2742,61.0178,36.9990,13.2690
50.63,"","","",202.4622,7.1643,135.1915,61.0178,37.0000,13.2780
50.67,"","","",202.4531,7.1643,135.1097,60.9237,37.0010,13.2450
50.70,"","","",202.4132,7.2550,134.9762,60.9237,37.0020,13.2050
50.73,"","","",202.3561,7.3457,134.8135,60.9237,37.0010,13.2020
50.77,"","","",202.3733,7.4364,134.6763,60.8297,36.9990,13.2410
50.80,"","","",202.3770,7.4364,134.5597,60.8297,37.0000,13.2170
50.83,"","","",202.3706,7.4364,134.4704,60.8297,37.0000,13.2180
50.87,"","","",202.3588,7.3457,134.3068,60.8297,37.0020,13.1610
50.90,"","","",202.3742,7.2550,134.1930,60.9237,37.0020,13.1330
50.93,"","","",202.3715,7.1643,134.0642,60.9237,37.0000,13.1440
50.97,"","","",202.3498,7.1643,133.9617,61.0178,37.0000,13.1420
51.00,"","","",202.3443,7.0736,133.8470,61.0178,37.0010,13.1060
51.03,"","","",202.3552,6.9829,133.7342,61.0178,37.0000,13.1280
51.07,"","","",202.3207,6.8922,133.6186,61.0178,37.0000,13.1460
51.10,"","","",202.2672,6.8922,133.4992,61.0178,37.0010,13.1100
51.13,"","","",202.2346,6.9829,133.3666,60.9237,36.9990,13.1420
51.17,"","","",202.2373,6.9829,133.2641,60.8297,36.9980,13.1990
51.20,"","","",202.2436,7.0736,133.1597,60.8297,36.9990,13.1940
51.23,"","","",202.2727,6.9829,133.0309,60.7357,36.9990,13.2220
51.27,"","","",202.2718,6.8922,132.9209,60.6417,36.9990,13.2440
51.30,"","","",202.2146,6.8922,132.7846,60.5477,37.0000,13.2200
51.33,"","","",202.1620,6.9829,132.6737,60.3596,36.9990,13.2580
51.37,"","","",202.1221,6.9829,132.5684,60.2656,37.0010,13.2280
51.40,"","","",202.1203,6.9829,132.4292,60.0776,37.0010,13.2090
51.43,"","","",202.1403,6.8922,132.3061,60.0776,37.0010,13.1700
51.47,"","","",202.1702,6.8922,132.1914,59.9836,37.0010,13.1460
51.50,"","","",202.1149,6.8922,132.0616,60.0776,37.0000,13.1450
51.53,"","","",202.0795,6.8922,131.9055,60.1716,37.0010,13.0960
51.57,"","","",202.0650,6.9829,131.7974,60.0776,37.0010,13.0740
51.60,"","","",202.0695,6.9829,131.6790,60.1716,37.0010,13.0590
51.63,"","","",202.0940,6.8922,131.5831,60.0776,37.0000,13.0810
51.67,"","","",202.0795,6.8016,131.4853,60.0776,37.0010,13.0450
51.70,"","","",202.0804,6.6202,131.3772,59.9836,36.9990,13.0780
51.73,"","","",202.0668,6.4388,131.2484,59.8895,37.0000,13.0760
51.77,"","","",201.9906,6.5295,131.1290,59.7955,36.9980,13.1150
51.80,"","","",201.9208,6.7109,131.0002,59.7015,36.9990,13.1250
51.83,"","","",201.9208,6.7109,130.8789,59.7015,36.9960,13.1990
51.87,"","","",201.9172,6.8016,130.7783,59.6075,36.9980,13.2030
51.90,"","","",201.9226,6.8016,130.6683,59.6075,36.9980,13.2320
51.93,"","","",201.9027,6.8922,130.5366,59.6075,36.9970,13.2580
51.97,"","","",201.8700,6.9829,130.4003,59.5135,36.9980,13.2710
52.00,"","","",201.8582,7.0736,130.2828,59.4195,36.9990,13.2870
52.03,"","","",201.8401,7.1643,130.1512,59.4195,37.0000,13.2880
52.07,"","","",201.8220,7.4364,130.0355,59.4195,37.0020,13.2410
52.10,"","","",201.8192,7.5270,129.9528,59.3254,37.0010,13.2200
52.13,"","","",201.7830,7.7084,129.8108,59.3254,37.0010,13.1950
52.17,"","","",201.7340,7.8898,129.7102,59.3254,37.0000,13.2090
52.20,"","","",201.6995,8.1619,129.6143,59.2314,37.0010,13.1940
52.23,"","","",201.7122,8.2525,129.5006,59.2314,37.0010,13.1630
52.27,"","","",201.7421,8.2525,129.3887,59.1374,37.0020,13.1330
52.30,"","","",201.7766,8.1619,129.2552,59.1374,37.0000,13.1310
52.33,"","","",201.7920,7.9805,129.1264,59.1374,36.9990,13.1760
52.37,"","","",201.7449,7.8898,128.9947,59.1374,36.9990,13.1930
52.40,"","","",201.7059,7.7991,128.8932,59.0434,36.9990,13.2290
52.43,"","","",201.6859,7.7991,128.7879,59.0434,36.9990,13.2530
52.47,"","","",201.6787,7.8898,128.6619,58.9494,37.0000,13.2660
52.50,"","","",201.6859,7.7991,128.5369,58.9494,37.0010,13.2290
52.53,"","","",201.7004,7.7084,128.4100,58.9494,37.0030,13.1780
52.57,"","","",201.7095,7.4364,128.3075,58.8553,37.0010,13.1690
52.60,"","","",201.6968,7.1643,128.1994,58.7613,37.0010,13.1560
52.63,"","","",201.6460,7.0736,128.0593,58.7613,37.0000,13.1750
52.67,"","","",201.5989,7.0736,127.9342,58.7613,37.0000,13.1600
52.70,"","","",201.5626,7.1643,127.8101,58.6673,36.9990,13.1830
52.73,"","","",201.5200,7.3457,127.6729,58.7613,37.0000,13.1880
52.77,"","","",201.5472,7.3457,127.5638,58.7613,36.9990,13.2080
52.80,"","","",201.5635,7.1643,127.4698,58.7613,36.9990,13.2390
52.83,"","","",201.5354,7.0736,127.3410,58.7613,37.0000,13.2220
52.87,"","","",201.4909,7.1643,127.2291,58.8553,36.9990,13.2640
52.90,"","","",201.4746,7.1643,127.1059,58.9494,37.0000,13.2340
52.93,"","","",201.4538,7.2550,126.9931,59.0434,37.0010,13.1820
52.97,"","","",201.4066,7.2550,126.8812,59.0434,37.0030,13.1400
53.00,"","","",201.4193,7.1643,126.7393,59.0434,37.0020,13.1260
53.03,"","","",201.4275,6.9829,126.6133,59.1374,37.0000,13.1270
53.07,"","","",201.4411,6.8016,126.5145,59.1374,37.0000,13.1110
53.10,"","","",201.4656,6.6202,126.3914,59.1374,36.9990,13.1500
53.13,"","","",201.4293,6.6202,126.2560,59.2314,36.9990,13.1930
53.17,"","","",201.3993,6.6202,126.1413,59.2314,36.9980,13.2160
53.20,"","","",201.3540,6.7109,126.0435,59.2314,37.0000,13.2390
53.23,"","","",201.3322,6.7109,125.9015,59.2314,37.0020,13.1770
53.27,"","","",201.3250,6.7109,125.7953,59.3254,37.0010,13.1770
53.30,"","","",201.3386,6.7109,125.7257,59.2314,36.9990,13.2160
53.33,"","","",201.3477,6.7109,125.6167,59.2314,37.0000,13.2170
53.37,"","","",201.3105,6.7109,125.4869,59.2314,37.0010,13.1830
53.40,"","","",201.2579,6.8016,125.3656,59.2314,37.0010,13.1690
53.43,"","","",201.2497,6.8922,125.2641,59.1374,37.0000,13.1910
53.47,"","","",201.2706,6.8922,125.1541,59.0434,37.0000,13.1760
53.50,"","","",201.2425,7.0736,125.0441,58.9494,36.9990,13.2200
53.53,"","","",201.2017,7.2550,124.9003,58.9494,37.0020,13.1500
53.57,"","","",201.1844,7.4364,124.7903,58.7613,37.0010,13.1520
53.60,"","","",201.1835,7.5270,124.6718,58.6673,37.0000,13.1390
53.63,"","","",201.1772,7.5270,124.5411,58.6673,36.9980,13.2050
53.67,"","","",201.1672,7.4364,124.4302,58.5733,36.9990,13.2270
53.70,"","","",201.1590,7.4364,124.3051,58.5733,37.0000,13.2180
53.73,"","","",201.1291,7.4364,124.1895,58.5733,37.0000,13.2090
53.77,"","","",201.0974,7.5270,124.0616,58.4793,37.0000,13.2210
53.80,"","","",201.0919,7.5270,123.9601,58.3853,37.0000,13.2460
53.83,"","","",201.0865,7.5270,123.8557,58.3853,37.0010,13.2220
53.87,"","","",201.0738,7.4364,123.7561,58.2912,37.0010,13.1910
53.90,"","","",201.0575,7.3457,123.6254,58.1972,37.0010,13.1740
53.93,"","","",201.0248,7.2550,123.5031,58.1032,37.0000,13.1990
53.97,"","","",201.0085,7.2550,123.3762,58.0092,37.0000,13.1750
54.00,"","","",200.9958,7.2550,123.2596,58.0092,37.0010,13.1300
54.03,"","","",201.0166,7.2550,123.1468,58.0092,37.0000,13.1120
54.07,"","","",201.0121,7.2550,123.0641,58.0092,37.0000,13.0930
54.10,"","","",201.0003,7.2550,122.9259,58.0092,36.9990,13.1360
54.13,"","","",201.0012,7.0736,122.8027,57.9152,36.9980,13.1800
54.17,"","","",200.9731,6.9829,122.7125,57.9152,36.9980,13.2020
54.20,"","","",200.9423,6.9829,122.5874,57.8211,36.9980,13.2340
54.23,"","","",200.9241,7.0736,122.4295,57.9152,36.9990,13.2520
54.27,"","","",200.9078,7.0736,122.3561,57.8211,37.0030,13.1780
54.30,"","","",200.9087,7.1643,122.2828,57.7271,37.0020,13.1700
54.33,"","","",200.9096,7.1643,122.1549,57.6331,37.0000,13.1910
54.37,"","","",200.8734,7.1643,122.0440,57.6331,37.0010,13.1420
54.40,"","","",200.8516,7.1643,121.9321,57.5391,37.0010,13.1290
54.43,"","","",200.8579,7.0736,121.7977,57.5391,37.0000,13.1170
54.47,"","","",200.8579,6.8922,121.6764,57.5391,37.0000,13.1400
54.50,"","","",200.7854,6.8922,121.5410,57.6331,37.0000,13.1290
54.53,"","","",200.7491,6.9829,121.4122,57.7271,37.0000,13.1510
54.57,"","","",200.7555,7.0736,121.2965,57.8211,36.9980,13.2090
54.60,"","","",200.7790,7.0736,121.2044,57.8211,36.9970,13.2330
54.63,"","","",200.7981,6.9829,121.0906,57.8211,36.9990,13.2300
54.67,"","","",200.8081,6.8016,120.9750,57.7271,37.0020,13.1610
54.70,"","","",200.7836,6.6202,120.8406,57.7271,37.0020,13.1370
54.73,"","","",200.7591,6.6202,120.7606,57.7271,37.0030,13.1050
54.77,"","","",200.7410,6.5295,120.6478,57.6331,37.0040,13.0690
54.80,"","","",200.7020,6.5295,120.5040,57.6331,37.0020,13.0670
54.83,"","","",200.6539,6.5295,120.3874,57.5391,37.0000,13.1050
54.87,"","","",200.6494,6.6202,120.2990,57.5391,37.0000,13.1220
54.90,"","","",200.6258,6.7109,120.1740,57.4451,37.0000,13.1460
54.93,"","","",200.5850,6.8016,120.0724,57.4451,37.0000,13.1410
54.97,"","","",200.5850,6.8922,119.9248,57.4451,37.0010,13.1120
55.00,"","","",200.5786,6.8922,119.8017,57.4451,37.0000,13.0950
55.03,"","","",200.5505,6.9829,119.7246,57.4451,37.0000,13.1250
55.07,"","","",200.5714,6.9829,119.6033,57.4451,37.0000,13.1430
55.10,"","","",200.6022,6.9829,119.4820,57.5391,37.0010,13.1180
55.13,"","","",200.5369,6.9829,119.3814,57.5391,37.0000,13.1100
55.17,"","","",200.5269,7.0736,119.2761,57.4451,37.0010,13.0730
55.20,"","","",200.5297,7.0736,119.1614,57.3511,36.9990,13.1120
55.23,"","","",200.5142,7.0736,119.0589,57.3511,37.0000,13.0930
55.27,"","","",200.5151,7.0736,118.9640,57.2570,37.0010,13.0710
55.30,"","","",200.4988,7.0736,118.8276,57.1630,37.0010,13.0500
55.33,"","","",200.4390,7.2550,118.7176,57.1630,37.0000,13.0580
55.37,"","","",200.4081,7.3457,118.6161,57.1630,37.0000,13.0740
55.40,"","","",200.4009,7.3457,118.4976,57.0690,37.0000,13.0700
55.43,"","","",200.3973,7.3457,118.3726,56.9750,37.0000,13.0670
55.47,"","","",200.3945,7.3457,118.2419,57.0690,36.9980,13.1020
55.50,"","","",200.3855,7.3457,118.0962,57.0690,36.9990,13.1320
55.53,"","","",200.3891,7.2550,117.9674,57.1630,36.9980,13.1660
55.57,"","","",200.3374,7.3457,117.8968,57.2570,36.9980,13.1870
55.60,"","","",200.3029,7.4364,117.7981,57.1630,37.0000,13.1910
55.63,"","","",200.3057,7.4364,117.6768,57.0690,36.9990,13.2080
55.67,"","","",200.2912,7.4364,117.5668,56.9750,37.0000,13.2310
55.70,"","","",200.2694,7.5270,117.4926,56.8810,37.0000,13.2110
55.73,"","","",200.2703,7.5270,117.3929,56.6929,37.0020,13.1600
55.77,"","","",200.2449,7.5270,117.2622,56.5989,37.0000,13.1850
55.80,"","","",200.2757,7.4364,117.1231,56.5049,36.9990,13.2250
55.83,"","","",200.3057,7.3457,116.9830,56.5049,37.0000,13.2360
55.87,"","","",200.2803,7.3457,116.8626,56.5989,36.9990,13.2680
55.90,"","","",200.2286,7.4364,116.7921,56.5989,37.0010,13.2290
55.93,"","","",200.2068,7.4364,116.6850,56.5989,36.9990,13.2560
55.97,"","","",200.1769,7.3457,116.5637,56.5049,36.9990,13.2670
56.00,"","","",200.1678,7.2550,116.4744,56.4109,37.0000,13.2660
56.03,"","","",200.1533,7.1643,116.3916,56.4109,37.0000,13.2550
56.07,"","","",200.1470,7.0736,116.2384,56.3169,37.0000,13.2400
56.10,"","","",200.1470,6.8922,116.1020,56.3169,37.0010,13.2050
56.13,"","","",200.1488,6.8016,116.0052,56.3169,37.0010,13.1940
56.17,"","","",200.1061,6.8016,115.9309,56.2228,37.0010,13.1480
56.20,"","","",200.0880,6.8016,115.8012,56.1288,37.0000,13.1620
56.23,"","","",200.0925,6.8016,115.6780,56.1288,37.0000,13.1800
56.27,"","","",200.0472,6.8922,115.5436,56.1288,36.9990,13.2170
56.30,"","","",200.0028,7.0736,115.4439,56.1288,37.0000,13.2250
56.33,"","","",199.9873,7.1643,115.3537,56.1288,36.9990,13.2620
56.37,"","","",199.9837,7.2550,115.2324,56.1288,37.0000,13.2340
56.40,"","","",199.9846,7.2550,115.1468,56.0348,37.0010,13.1990
56.43,"","","",199.9810,7.1643,115.0255,56.0348,37.0000,13.1880
56.47,"","","",199.9774,7.1643,114.9071,56.0348,36.9990,13.2180
56.50,"","","",199.9538,7.1643,114.8036,55.9408,37.0000,13.2350
56.53,"","","",199.9438,7.1643,114.6918,55.8468,37.0010,13.1880
56.57,"","","",199.9248,7.1643,114.5846,55.8468,37.0000,13.2070
56.60,"","","",199.8885,7.0736,114.4426,55.7527,37.0000,13.2120
56.63,"","","",199.8667,7.0736,114.3383,55.7527,37.0010,13.1760
56.67,"","","",199.8441,7.1643,114.2593,55.6587,37.0020,13.1200
56.70,"","","",199.8549,7.2550,114.1314,55.5647,37.0010,13.1230
56.73,"","","",199.8604,7.2550,114.0017,55.4707,37.0000,13.1430
56.77,"","","",199.8577,7.2550,113.8917,55.4707,36.9990,13.1910
56.80,"","","",199.8359,7.2550,113.7685,55.4707,36.9990,13.2050
56.83,"","","",199.8069,7.2550,113.6745,55.5647,37.0000,13.1940
56.87,"","","",199.7815,7.2550,113.5560,55.6587,37.0010,13.1450
56.90,"","","",199.8051,7.2550,113.4329,55.7527,37.0010,13.1490
56.93,"","","",199.8060,7.1643,113.3313,55.7527,37.0000,13.1780
56.97,"","","",199.7896,7.1643,113.2345,55.7527,37.0010,13.1380
57.00,"","","",199.7688,7.1643,113.1000,55.8468,36.9990,13.1750
57.03,"","","",199.7470,7.1643,113.0107,55.7527,37.0010,13.1350
57.07,"","","",199.7497,7.1643,112.9186,55.6587,37.0010,13.0910
57.10,"","","",199.7135,7.1643,112.8217,55.5647,37.0000,13.1200
57.13,"","","",199.6790,7.1643,112.6854,55.5647,36.9980,13.1610
57.17,"","","",199.6926,7.0736,112.5707,55.5647,36.9990,13.1860
57.20,"","","",199.7071,6.8922,112.4729,55.6587,36.9990,13.2100
57.23,"","","",199.6826,6.8016,112.3658,55.6587,36.9990,13.2220
57.27,"","","",199.6591,6.7109,112.2558,55.5647,37.0000,13.2120
57.30,"","","",199.6491,6.7109,112.1317,55.5647,37.0000,13.2390
57.33,"","","",199.6409,6.6202,112.0433,55.4707,37.0010,13.2120
57.37,"","","",199.6355,6.5295,111.9173,55.3767,37.0010,13.1840
57.40,"","","",199.6173,6.5295,111.8252,55.3767,36.9990,13.2180
57.43,"","","",199.5484,6.5295,111.7405,55.2827,36.9990,13.2460
57.47,"","","",199.5230,6.5295,111.6258,55.1886,37.0000,13.2530
57.50,"","","",199.5330,6.5295,111.5008,55.0946,37.0000,13.2840
57.53,"","","",199.5185,6.5295,111.3974,55.0006,37.0000,13.2590
57.57,"","","",199.4713,6.5295,111.2911,55.0006,37.0010,13.2430
57.60,"","","",199.4405,6.6202,111.1793,54.9066,37.0010,13.2080
57.63,"","","",199.4369,6.8016,111.0533,54.9066,37.0020,13.1820
57.67,"","","",199.4768,6.8922,110.9489,54.9066,37.0010,13.1500
57.70,"","","",199.4713,6.8922,110.8145,54.9066,37.0020,13.1180
57.73,"","","",199.4187,6.9829,110.7383,54.8126,37.0000,13.1540
57.77,"","","",199.3843,7.0736,110.6321,54.7185,37.0000,13.1800
57.80,"","","",199.3788,7.0736,110.5399,54.6245,37.0000,13.1750
57.83,"","","",199.3770,7.1643,110.4374,54.5305,36.9990,13.2020
57.87,"","","",199.3670,7.1643,110.2974,54.4365,37.0000,13.2240
57.90,"","","",199.3444,7.2550,110.1845,54.4365,37.0010,13.1800
57.93,"","","",199.3407,7.3457,110.0661,54.4365,37.0010,13.1570
57.97,"","","",199.3498,7.3457,109.9486,54.4365,37.0000,13.1710
58.00,"","","",199.3462,7.4364,109.8282,54.4365,37.0000,13.1570
58.03,"","","",199.3135,7.4364,109.7351,54.4365,37.0000,13.1510
58.07,"","","",199.2881,7.4364,109.6580,54.3425,37.0010,13.1000
58.10,"","","",199.2591,7.5270,109.5518,54.3425,37.0000,13.0930
58.13,"","","",199.2102,7.6177,109.4277,54.3425,37.0000,13.0620
58.17,"","","",199.2020,7.7084,109.3196,54.3425,36.9990,13.0940
58.20,"","","",199.1993,7.7991,109.2218,54.3425,36.9990,13.1160
58.23,"","","",199.2201,7.7991,109.1099,54.3425,37.0010,13.0830
58.27,"","","",199.2637,7.6177,108.9820,54.4365,37.0000,13.0980
58.30,"","","",199.2510,7.5270,108.8767,54.4365,37.0000,13.1090
58.33,"","","",199.1929,7.4364,108.7808,54.4365,36.9990,13.1680
58.37,"","","",199.1893,7.3457,108.7000,54.4365,36.9980,13.2010
58.40,"","","",199.2011,7.2550,108.5900,54.3425,36.9990,13.1940
58.43,"","","",199.1766,7.1643,108.4490,54.3425,36.9990,13.2330
58.47,"","","",199.1458,7.1643,108.3390,54.3425,37.0000,13.2230
58.50,"","","",199.1394,7.0736,108.2440,54.3425,37.0010,13.1960
58.53,"","","",199.1195,6.8922,108.1321,54.3425,37.0010,13.1590
58.57,"","","",199.1022,6.8016,108.0428,54.2485,37.0020,13.1180
58.60,"","","",199.0950,6.7109,107.9591,54.2485,37.0010,13.1040
58.63,"","","",199.0696,6.7109,107.8717,54.1544,37.0000,13.1220
58.67,"","","",199.0288,6.6202,107.7250,54.0604,37.0000,13.0940
58.70,"","","",199.0125,6.5295,107.6075,54.0604,37.0000,13.0680
58.73,"","","",199.0043,6.5295,107.5125,54.0604,36.9990,13.1120
58.77,"","","",198.9644,6.6202,107.4561,53.8724,36.9980,13.1380
58.80,"","","",198.9463,6.7109,107.3377,53.6843,37.0000,13.1240
58.83,"","","",198.9671,6.7109,107.2042,53.5903,37.0000,13.1360
58.87,"","","",198.9898,6.6202,107.1111,53.4963,37.0000,13.1230
58.90,"","","",198.9771,6.6202,106.9795,53.4023,37.0010,13.0980
58.93,"","","",198.9726,6.6202,106.8920,53.3083,37.0000,13.1250
58.97,"","","",198.9154,6.7109,106.7905,53.3083,37.0000,13.1470
59.00,"","","",198.8755,6.7109,106.6758,53.2143,36.9990,13.1950
59.03,"","","",198.9054,6.7109,106.5601,53.2143,36.9990,13.2070
59.07,"","","",198.9027,6.6202,106.4548,53.2143,37.0000,13.2040
59.10,"","","",198.8801,6.7109,106.3345,53.2143,37.0010,13.1600
59.13,"","","",198.8900,6.7109,106.2583,53.0262,37.0030,13.1220
59.17,"","","",198.8955,6.6202,106.1596,52.9322,37.0020,13.1100
59.20,"","","",198.8764,6.5295,106.0515,52.8382,37.0000,13.1460
59.23,"","","",198.8411,6.5295,105.9603,52.7442,37.0000,13.1320
59.27,"","","",198.8066,6.6202,105.8653,52.7442,37.0020,13.0690
59.30,"","","",198.8229,6.5295,105.7488,52.6501,37.0020,13.0580
59.33,"","","",198.7948,6.4388,105.6284,52.6501,37.0000,13.0520
59.37,"","","",198.7549,6.5295,105.5165,52.7442,37.0000,13.0520
59.40,"","","",198.7195,6.6202,105.4150,52.6501,37.0000,13.0480
59.43,"","","",198.6896,6.7109,105.2881,52.6501,37.0000,13.0340
59.47,"","","",198.6289,6.9829,105.1800,52.6501,36.9990,13.0620
59.50,"","","",198.6016,7.3457,105.0747,52.7442,36.9990,13.1140
59.53,"","","",198.6316,7.5270,104.9600,52.7442,36.9990,13.1320
59.57,"","","",198.6633,7.5270,104.8556,52.7442,37.0000,13.1380
59.60,"","","",198.6515,7.5270,104.7663,52.8382,36.9990,13.1860
59.63,"","","",198.6252,7.4364,104.6638,52.8382,37.0000,13.1660
59.67,"","","",198.6207,7.4364,104.5388,52.9322,37.0000,13.1880
59.70,"","","",198.6225,7.4364,104.4297,52.9322,37.0010,13.1530
59.73,"","","",198.5772,7.4364,104.3263,52.9322,37.0010,13.1250
59.77,"","","",198.5481,7.4364,104.2548,52.9322,37.0010,13.0990
59.80,"","","",198.5790,7.3457,104.1758,52.9322,37.0000,13.0820
59.83,"","","",198.5880,7.2550,104.0743,52.9322,36.9990,13.1190
59.87,"","","",198.5645,7.1643,103.9605,52.9322,37.0000,13.1170
59.90,"","","",198.5227,7.1643,103.8383,52.9322,36.9990,13.1510
59.93,"","","",198.4946,7.1643,103.7490,52.8382,37.0000,13.1400
59.97,"","","",198.4738,7.1643,103.6418,52.7442,37.0010,13.1210
60.00,"","","",198.4502,7.2550,103.5356,52.6501,37.0000,13.1490
60.03,"","","",198.4529,7.3457,103.4491,52.6501,36.9990,13.1930
60.07,"","","",198.4384,7.3457,103.3269,52.6501,37.0000,13.1810
60.10,"","","",198.4257,7.4364,103.2394,52.4621,37.0010,13.1520
60.13,"","","",198.4312,7.5270,103.1116,52.4621,37.0000,13.1450
60.17,"","","",198.4384,7.5270,102.9950,52.3681,37.0010,13.1140
60.20,"","","",198.4575,7.3457,102.9066,52.3681,37.0010,13.0730
60.23,"","","",198.4021,7.2550,102.8088,52.3681,37.0010,13.0530
60.27,"","","",198.3903,7.1643,102.7054,52.2741,37.0000,13.0650
60.30,"","","",198.3858,7.1643,102.5982,52.1801,36.9980,13.0940
60.33,"","","",198.3550,7.1643,102.5164,52.1801,36.9990,13.1030
60.37,"","","",198.3187,7.1643,102.4365,52.0860,36.9980,13.1420
60.40,"","","",198.2824,7.1643,102.3237,51.9920,36.9990,13.1500
60.43,"","","",198.3051,7.1643,102.2193,51.8980,37.0000,13.1760
60.47,"","","",198.3069,7.0736,102.0933,51.8980,36.9990,13.2100
60.50,"","","",198.2897,6.8922,101.9918,51.8040,36.9990,13.2500
60.53,"","","",198.2688,6.8016,101.9128,51.7100,36.9990,13.2660
60.57,"","","",198.2398,6.7109,101.8179,51.5219,37.0000,13.2830
60.60,"","","",198.1926,6.7109,101.7032,51.4279,37.0010,13.2440
60.63,"","","",198.1818,6.7109,101.5988,51.3339,37.0020,13.2140
60.67,"","","",198.1999,6.6202,101.4935,51.2399,37.0010,13.1910
60.70,"","","",198.1627,6.6202,101.4221,51.0518,37.0020,13.1620
60.73,"","","",198.1455,6.7109,101.3365,50.9578,37.0000,13.1810
60.77,"","","",198.1473,6.7109,101.2190,50.8638,36.9990,13.2100
60.80,"","","",198.1799,6.8016,101.0920,50.8638,37.0010,13.1680
60.83,"","","",198.1391,6.9829,100.9811,50.8638,37.0000,13.1810
60.87,"","","",198.1092,7.0736,100.8824,50.8638,37.0020,13.1250
60.90,"","","",198.1301,6.9829,100.8081,50.7698,37.0010,13.0960
60.93,"","","",198.1183,6.9829,100.6906,50.7698,37.0020,13.0540
60.97,"","","",198.0793,6.9829,100.6097,50.7698,37.0010,13.0700
61.00,"","","",198.0521,6.9829,100.4960,50.7698,37.0000,13.0770
